time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-07-12 12:11:34,0,0,0,,,54.045939393512,0.328084,0,0,0,16,2,0,54.045939393512,0,0,0,0,0,0,277.3, 4.7, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,277.5,0,0.1,64,3.939,3.943,3.942,3.939,0,0,0,73.22,54.045939393512,0,41,Motors_Started,"GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
200,2023-07-12 12:11:34,0,0,0,,,54.045939393512,0.328084,0,0,0,16,2,0,54.045939393512,0,0,0,0,0,0,277.3, 4.7, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,277.4,0,0,64,3.939,3.943,3.942,3.939,0,0,0,73.22,54.045939393512,0,41,Motors_Started,
400,2023-07-12 12:11:35,0,0,0,,,54.045939393512,0,0,0,0,16,2,0,54.045939393512,0,0,0,0,0,0,277.3, 4.7, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,277.4,0,0,64,3.939,3.943,3.942,3.939,0,0,0,73.22,54.045939393512,0,41,Motors_Started,
600,2023-07-12 12:11:35,0,0,0,,,54.045939393512,0,0,0,0,16,2,0,54.045939393512,0,0,0,0,0,0,277.3, 4.7, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,277.4,0,0,64,3.939,3.943,3.942,3.939,0,0,0,73.22,54.045939393512,0,41,Motors_Started,
800,2023-07-12 12:11:35,0,0,0,,,54.045939393512,0,0,0,0,16,2,0,54.045939393512,0,0,0,0,0,0,277.3, 4.7, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,277.4,0,0,64,3.939,3.943,3.942,3.939,0,0,0,73.22,54.045939393512,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 57. Setting new Maximum Flight Altitude to 30m (98 ft)"
1000,2023-07-12 12:11:35,0,0,0,,,54.045939393512,0,0,0,0,16,2,0,54.045939393512,0,0,0,0,0,0,277.2, 4.7, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,277.4,0,0,64,3.939,3.943,3.942,3.939,0,0,0,73.22,54.045939393512,0,41,Motors_Started,
1200,2023-07-12 12:11:35,0,0,0,,,54.045939393512,0,0,0,0,16,2,0,54.045939393512,0,0,0,0,0,0,277.2, 4.7, -0.1,0,0,1024,1024,1153,1024,0,0,20,0,277.4,0,0,64,3.939,3.943,3.942,3.939,0,0,0,73.22,54.045939393512,0,41,Motors_Started,
1400,2023-07-12 12:11:36,0,0,0,,,54.045939393512,0,0,0,0,16,2,15.81,54.045939393512,0,0,0,0,0,0,277, 4.7, -0.1,0,0,1024,1024,1577,1024,0,0,84,0,277.4,0,0,64,3.939,3.943,3.942,3.939,0,0,2.229,73.22,54.045939393512,0,41,Motors_Started,
1600,2023-07-12 12:11:36,0,0,0,,,54.045939393512,0,0,0,0,16,2,15.81,54.045939393512,0,0,0,0,0,0,276.4, 4.7, -0.1,0,0,1024,1024,1684,1024,0,0,100,0,277.3,0,0,64,3.939,3.943,3.942,3.939,0,0,2.229,73.22,54.045939393512,0,11,AutoTakeoff,
1800,2023-07-12 12:11:36,0,0,0,,,54.045939393512,0,0,0,0,16,2,15.81,54.045939393512,0,0,0,0,0,0,276.4, 4.7, -0.1,0,0,1024,1024,1635,1024,0,0,93,0,277.3,0,0,64,3.939,3.943,3.942,3.939,0,0,2.229,73.22,54.045939393512,0,11,AutoTakeoff,
2000,2023-07-12 12:11:36,0,0,0,,,54.045939393512,0,0,0,0,16,2,15.81,54.045939393512,0,0,0,0,0,0,276.2, 3.3, -0.1,0,0,1024,1024,1655,1024,0,0,96,0,277.2,0,0,64,3.939,3.943,3.942,3.939,0,0,2.229,73.22,54.045939393512,0,11,AutoTakeoff,
2200,2023-07-12 12:11:36,0,0,0,,,54.045939393512,0,0,0,0,16,2,15.81,54.045939393512,0,0,0,0,0,-0.447388,275.5, -1.7, 0.2,0,0,1024,1024,1656,1024,0,0,96,0,277.1,0,0,64,3.939,3.943,3.942,3.939,0,0,2.229,73.22,54.045939393512,0,11,AutoTakeoff,
2400,2023-07-12 12:11:37,0,0,0,,,54.045939393512,0.328084,0,0,0,16,2,15.806,54.045939393512,0,0,0,0,0,-1.342164,275.9, -0.1, 0.7,0,0,1024,1024,1675,1024,0,0,99,0,277,0,0,64,3.961,3.968,3.969,3.967,0,0,4.442,73.22,54.045939393512,0,11,AutoTakeoff,
