Time,Flight URL,CSV filename
2023-07-27 16:11:00,https://app.airdata.com/flight/7bfdbc1996afe83aa106bf5ed2207e0e,Jul-27th-2023-04-11PM-Flight-Airdata.csv
2023-07-27 15:53:00,https://app.airdata.com/flight/41033bf8641d82233c553e4b1b6c2b71,Jul-27th-2023-03-53PM-Flight-Airdata.csv
2023-07-26 17:36:00,https://app.airdata.com/flight/43cdc627ccde14ab048a5e16a1deeffc,Jul-26th-2023-05-36PM-Flight-Airdata.csv
2023-07-25 13:02:00,https://app.airdata.com/flight/05c7e9d257d58fcb1a6a55d3c717789c,Jul-25th-2023-01-02PM-Flight-Airdata.csv
2023-07-24 18:19:00,https://app.airdata.com/flight/c857502e378f2f0da31cc98f37758757,Jul-24th-2023-06-19PM-Flight-Airdata.csv
2023-07-21 15:33:00,https://app.airdata.com/flight/7540e61c4896306060914930dd36d591,Jul-21st-2023-03-33PM-Flight-Airdata.csv
2023-07-20 19:40:00,https://app.airdata.com/flight/3cebe8e85382209f6bbe028134f0f273,Jul-20th-2023-07-40PM-Flight-Airdata.csv
2023-07-20 19:32:00,https://app.airdata.com/flight/18eea69028e2e67b4739ded5afe1cc70,Jul-20th-2023-07-32PM-Flight-Airdata.csv
2023-07-19 17:48:00,https://app.airdata.com/flight/02b1b2f074758954536b89f11c902920,Jul-19th-2023-05-48PM-Flight-Airdata.csv
2023-07-18 19:29:00,https://app.airdata.com/flight/46acd28e41c88f3f72220c0d41e4000e,Jul-18th-2023-07-29PM-Flight-Airdata.csv
2023-07-17 18:03:00,https://app.airdata.com/flight/d4a4216e636ed751981ab4865614ddab,Jul-17th-2023-06-03PM-Flight-Airdata.csv
2023-07-16 21:15:00,https://app.airdata.com/flight/86d2a53c0b4520be5007e13a779f8cbb,Jul-16th-2023-09-15PM-Flight-Airdata.csv
2023-07-15 15:22:00,https://app.airdata.com/flight/bc4ba0e7409b68efd00cb5ba98e5ae77,Jul-15th-2023-03-22PM-Flight-Airdata.csv
2023-07-13 18:54:00,https://app.airdata.com/flight/31f9bd82c4834b146792b4f008371fff,Jul-13th-2023-06-54PM-Flight-Airdata.csv
2023-07-12 13:11:00,https://app.airdata.com/flight/856e194524ff6d8fcf92d397f15c0d5b,Jul-12th-2023-01-11PM-Flight-Airdata.csv
2023-07-11 18:26:00,https://app.airdata.com/flight/5d212fc00ce9f735ebae123565aa12ea,Jul-11th-2023-06-26PM-Flight-Airdata.csv
2023-07-10 18:54:00,https://app.airdata.com/flight/77357efd22e9382e28588cf8c33414e2,Jul-10th-2023-06-54PM-Flight-Airdata.csv
